WordHex,EA,Col1,Row1,Col2,Row2,DataBCID
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
0xE5E02F2F2F,3,2,15,0,1,1943
